50
-1 0 0 0 0 0 0 0 Civilian
0 0 0 0 0 0 0 0 Shady Character
1000 3 0 0 0 0 0 3 Street Punk
3000 3 0 0 0 0 0 0 Ruffian
4000 5 3 0 0 0 3 0 Bad Ass
5000 2 0 3 0 0 0 0 Underground Operator
6500 3 3 0 0 0 0 0 Bully
8000 3 0 0 0 3 0 0 Bodygaurd
9500 3 0 0 0 0 0 0 Henchman
12000 2 0 0 5 0 0 0 Peeping Tom
13500 2 0 3 0 0 0 0 Prankster
16000 2 0 0 3 0 0 3 Thief
18500 2 0 3 0 3 0 0 Informant
21000 3 0 0 0 0 0 3 Tracker
23500 5 5 0 0 0 0 0 Rebel
26000 3 0 0 3 0 0 0 Rogue
29500 5 0 0 0 0 5 0 Torturer
33000 3 0 3 0 0 0 3 Smuggler
36500 3 0 0 3 0 0 0 Cat Burglar
40000 5 3 0 0 0 3 0 Cutthroat
43500 3 0 0 0 0 0 0 Antagonist
44500 3 0 3 0 0 0 3 Narc
49000 5 3 0 5 0 3 0 Berserker
53500 3 0 0 0 0 0 0 Freelancer
58000 3 0 0 0 0 0 0 Psychotic
62500 3 0 3 0 -3 0 3 Serial Killer
68000 5 3 0 3 0 0 3 Mass Murderer
73500 3 0 0 3 0 0 0 Backstabber
79000 3 0 3 0 0 0 3 Stalker
84500 5 0 0 0 0 0 0 Hitman
90000 5 5 0 0 0 5 0 Punisher
110000 3 0 0 0 0 0 0 Mobster
130000 3 0 0 5 3 0 0 Escapist
150000 3 0 3 0 0 0 3 Impersonator
170000 5 3 0 0 0 3 0 Enforcer
190000 3 0 3 3 0 0 0 Perpetrator
210000 5 3 0 0 0 0 5 Interrogator
230000 3 0 0 0 0 0 0 Marksman
250000 3 0 0 3 0 0 0 Sniper
270000 3 0 0 0 -3 0 0 Public Enemy
290000 3 0 5 0 5 0 5 Con-Artist
310000 3 0 0 3 0 0 0 Sabateur
330000 5 3 0 0 0 5 0 Terrorist
350000 5 5 5 0 0 0 5 Mercenary
370000 3 0 5 0 0 0 0 Spy
390000 3 0 5 0 5 0 5 MacGyver
410000 5 5 0 3 0 5 0 Terminator
430000 5 5 0 0 0 5 0 Killing Machine
450000 5 0 3 0 0 5 3 Bounty Hunter
470000 5 3 3 3 3 3 3 Assassin
500000 10 5 5 5 5 5 5 Mastermind Assassin

Exp Hp Str IQ Dex Cha Tgh StSm LevelName
