None|0|0|0|0|0|0|0|0|0|1|3|0|1|2|0|0|0
Bastard Sword|1|0|0|0|0|0|0|0|25|1|8|0|1|12|0|0|0
Battle Axe|1|0|0|0|0|0|0|0|6|1|8|0|1|8|0|0|0
Bo Stick|2|0|0|0|0|0|0|0|1|1|6|0|1|4|0|0|0
Broad Sword|1|0|0|0|0|0|0|0|20|2|4|0|1|6|1|0|0
Chain|2|0|0|0|0|0|0|0|1|1|4|1|1|4|0|0|0
Claymore|2|0|0|0|0|0|0|0|25|2|4|0|2|8|0|0|0
Club|1|0|0|0|0|0|0|0|4|1|6|0|1|3|0|0|0
Cutlass|1|0|0|0|0|0|0|0|12|1|6|1|1|8|1|0|0
Dagger|1|0|0|0|0|0|0|0|2|1|4|0|1|3|0|0|0
Drusus|1|0|0|0|0|0|0|0|50|1|6|1|1|8|1|0|0
Falchion|1|0|0|0|0|0|0|0|20|1|6|1|1|4|1|0|0
Flail|1|0|0|0|0|0|0|0|14|1|6|1|2|4|0|0|0
Gladius|1|0|0|0|0|0|0|0|10|1|6|0|1|8|0|0|0
Great Scimitar|2|0|0|0|0|0|0|0|60|2|6|0|4|4|0|0|0
Hand Axe|1|0|0|0|0|0|0|0|2|1|6|0|1|4|0|0|0
Katana|1|0|0|0|0|0|0|0|100|1|10|0|1|12|0|0|0
Khopesh|1|0|0|0|0|0|0|0|10|2|4|0|1|6|0|0|0
Long Sword|1|0|0|0|0|0|0|0|14|1|8|0|1|12|0|0|0
Mace|1|0|0|0|0|0|0|0|8|1|6|1|1|6|0|0|0
Mace Axe|1|0|0|0|0|0|0|0|12|2|4|0|1|6|0|0|0
Machette|1|0|0|0|0|0|0|0|8|1|8|0|1|8|0|0|0
Maul|2|0|0|0|0|0|0|0|4|2|4|0|1|10|0|0
Morning Star|1|0|0|0|0|0|0|0|10|2|4|0|1|6|1|0|0
Ninja-to|1|0|0|0|0|0|0|0|20|1|8|0|1|6|0|0|0
No-Ddachi|2|0|0|0|0|0|0|0|45|1|10|0|1|20|0|0|0
Nunchaku|2|0|0|0|0|0|0|0|1|1|6|0|1|6|0|0|0
Pick|1|0|0|0|0|0|0|0|8|1|6|1|2|4|0|0|0
Quarterstaff|2|0|0|0|0|0|0|0|1|1|6|0|1|6|0|0|0
Rapier|1|0|0|0|0|0|0|0|15|1|6|0|1|8|0|0|0
Sabre|1|0|0|0|0|0|0|0|17|1|6|1|1|8|1|0|0
Sai|1|0|0|0|0|0|0|0|1|1|4|0|1|2|0|0|0
Sang Kauw|2|0|0|0|0|0|0|0|5|1|8|0|1|6|0|0|0
Sapara|1|0|0|0|0|0|0|0|10|1|6|1|1|4|0|0|0
Scimitar|1|0|0|0|0|0|0|0|14|1|8|0|1|8|0|0|0
Short Sword|1|0|0|0|0|0|0|0|10|1|6|0|1|8|0|0|0
Sickle|1|0|0|0|0|0|0|0|2|1|4|1|1|4|0|0|0
Spatha|1|0|0|0|0|0|0|0|25|1|8|0|1|12|0|0|0
Stone Axe|1|0|0|0|0|0|0|0|1|1|6|0|1|4|0|0|0
Sword-axe|2|0|0|0|0|0|0|0|20|1|8|1|1|12|1|0|0
Trident|1|0|0|0|0|0|0|0|15|1|6|1|3|4|0|0|0
Tulwar|1|0|0|0|0|0|0|0|17|1|6|1|2|4|0|0|0
Two-handed Sword|2|0|0|0|0|0|0|0|50|1|10|0|3|6|0|0|0
Wakizashi|1|0|0|0|0|0|0|0|50|4|1|1|4|0|1|0|0
War Club|2|0|0|0|0|0|0|0|2|1|6|1|1|4|1|0|0
Warhammer|1|0|0|0|0|0|0|0|2|1|4|1|1|4|0|0|0
Banded Mail|3|0|0|0|0|0|0|0|200|0|0|0|0|0|0|6|0
Bone Armor|3|0|0|0|0|0|0|0|50|0|0|0|0|0|0|4|0
Brigandine Armor|3|0|0|0|0|0|0|0|120|0|0|0|0|0|0|4|0
Bronze Plate Mail|3|0|0|0|0|0|0|0|400|0|0|0|0|0|0|6|0
Chain Mail|3|0|0|0|0|0|0|0|76|0|0|0|0|0|0|5|0
Cord Armor|3|0|0|0|0|0|0|0|15|0|0|0|0|0|0|3|0
Dragon Mail|3|0|0|0|0|0|0|0|8000|0|0|0|0|0|0|10|0
Dragon Plate Mail|3|0|0|0|0|0|0|0|12000|0|0|0|0|0|0|11|0
Field Plate|3|0|0|0|0|0|0|0|2000|0|0|0|0|0|0|8|0
Full Dragon Plate|3|0|0|0|0|0|0|0|20000|0|0|0|0|0|0|12|0
Full Plate|3|0|0|0|0|0|0|0|4000|0|0|0|0|0|0|9|0
Hide Armor|3|0|0|0|0|0|0|0|16|0|0|0|0|0|0|4|0
Improved Mail|3|0|0|0|0|0|0|0|180|0|0|0|0|0|0|6|0
Leather Armor|3|0|0|0|0|0|0|0|6|0|0|0|0|0|0|2|0
Metal Lamellar|3|0|0|0|0|0|0|0|250|0|0|0|0|0|0|4|0
Padded Armor|3|0|0|0|0|0|0|0|4|0|0|0|0|0|0|2|0
Plate Mail|3|0|0|0|0|0|0|0|600|0|0|0|0|0|0|7|0
Ring Mail|3|0|0|0|0|0|0|0|100|0|0|0|0|0|0|3|0
Scale Mail|3|0|0|0|0|0|0|0|120|0|0|0|0|0|0|4|0
Splint Mail|3|0|0|0|0|0|0|0|80|0|0|0|0|0|0|6|0
Studded Leather|3|0|0|0|0|0|0|0|20|0|0|0|0|0|0|3|0
Wood Armor|3|0|0|0|0|0|0|0|50|0|0|0|0|0|0|4|0
Body shield|5|0|0|0|0|0|0|0|800|X|X|X|X|X|X|7|0
Buckler|5|0|0|0|0|0|0|0|15|X|X|X|X|X|X|1|0
Copper shield|5|0|0|0|0|0|0|0|350|X|X|X|X|X|X|4|0
Crystal shield|5|0|0|0|0|0|0|0|18000|X|X|X|X|X|X|8|0
Diamond shield|5|0|0|0|0|0|0|0|78000|X|X|X|X|X|X|9|0
Dragon scale shield|5|0|0|0|0|0|0|0|15000|X|X|X|X|X|X|8|0
Gold shield|5|0|0|0|0|0|0|0|6800|X|X|X|X|X|X|5|0
Iron shield|5|0|0|0|0|0|0|0|700|X|X|X|X|X|X|7|0
Large shield|5|0|0|0|0|0|0|0|400|X|X|X|X|X|X|5|0
Medium shield|5|0|0|0|0|0|0|0|150|X|X|X|X|X|X|3|0
Metal shield|5|0|0|0|0|0|0|0|600|X|X|X|X|X|X|6|0
Round shield|5|0|0|0|0|0|0|0|175|X|X|X|X|X|X|3|0
Scale shield|5|0|0|0|0|0|0|0|180|X|X|X|X|X|X|4|0
Small shield|5|0|0|0|0|0|0|0|50|X|X|X|X|X|X|2|0
Spiked shield|5|0|0|0|0|0|0|0|1500|X|X|X|X|X|X|7|0
Thorn shield|5|0|0|0|0|0|0|0|300|X|X|X|X|X|X|3|0
Dagger +1|1|0|0|0|0|0|0|0|200|1|4|1|1|3|1|0|0
Dagger +2|1|0|0|0|0|0|0|0|400|1|4|2|1|3|2|0|0
Dagger +3|1|0|0|0|0|0|0|0|600|1|4|3|1|3|3|0|0
Broad sword +1|1|0|0|0|0|0|0|0|2000|2|4|1|1|6|2|0|0
Broad sword +2|1|0|0|0|0|0|0|0|4000|2|4|2|1|6|3|0|0
